Profit
520.2
475.3
458.9
506.8
564.1
620.4
695.1
689.9
692
733.4
787.4
901.9
939.7
978.8
973.7
1185.8
1206.2
1251.7
1320
1352.9
1391.7
1409
1358.7
1270.8
1341.7
1285.3
1313.7
1203.5
1229.6
1188.8
671.4
1038
1115.1
1259.6
1382.2
1446.9
1431.2
1492.1
1486.9
1399.2
1466.1
1482.1
1545.1
1724.9
1730.3
1769.4
1796.4
1784.8
