Index
63.1
63.8
64.43
65.06
65.82
66.48
67.12
67.71
68.35
68.99
69.57
70.31
70.76
71.24
71.74
72.2
72.76
73.5
74.34
75.09
75.82
76.43
77.08
77.68
78.33
78.9
79.82
80.44
80.83
81.07
81.14
81.4
81.62
81.94
82.23
82.47
82.65
82.73
82.76
82.68
82.33
81.99
81.57
81.17
80.77
80.36
79.91
79.52
78.87
78.34
77.71
77.45
77.6
77.81
78.09
78.25
78.27
78.24
78.15
78.15
78.07
78.08
78.01
77.95
77.89
77.7
77.43
77.31
77.15
77.03
76.96
76.86
76.89
76.85
76.6
76.4
76.27
76.26
76.09
75.9
75.87
75.81
75.9
75.91
76.06
76.23
76.41
76.58
76.69
76.77
76.87
76.94
76.97
77.1
77.13
77.21
77.2
77.28
77.06
76.88
76.77
76.66
76.7
76.75
76.82
76.86
76.88
76.92
76.99
77.12
77.17
77.34
77.47
77.47
77.51
77.61
77.75
77.95
78.18
78.38
78.57
78.72
78.99
79.25
79.53
79.91
80.22
80.61
80.91
81.42
81.96
82.59
83.26
83.97
84.62
85.19
85.86
86.63
87.43
88.14
88.85
89.35
89.73
90.14
90.71
91.44
92.13
93.05
93.75
94.65
95.5
96.38
97.2
97.98
98.89
99.87
100.75
101.89
103.15
104.53
106.01
107.34
108.17
109.07
110.03
111.17
112.5
113.93
115.43
116.69
117.73
118.5
118.95
119.5
120.1
120.95
121.95
122.81
123.62
124.02
124.83
125.76
127.04
128.54
130.34
132.22
134.1
135.95
137.61
139.37
141.01
142.57
143.86
145.04
146.14
147.14
148.19
149.13
150.65
152.43
154.66
156.81
159.17
161.64
164.01
166.42
169.5
172.48
175.54
178.84
181.53
183.52
185.52
187.45
189.49
191.76
194.61
197.78
201.31
203.82
206.09
208.23
210.28
212.29
214.97
217.46
219.93
222.17
223.88
225.62
226.51
226.91
226.66
225.69
224.56
223.25
222.83
222.77
222.86
222.54
222.74
222.95
222.91
221.43
219.31
216.81
214.46
211.95
210.1
207.64
204.12
200.75
197.44
193.11
189.34
186
182.62
180.02
176.78
174.05
170.75
167.75
164.97
162.16
159.2
157.05
154.45
153.03
152.21
152.83
153.92
155.28
156.01
156.76
157.41
158.31
159.29
159.71
159.53
160.38
160.53
160.4
159.77
158.82
157.92
156.9
156.65
156.3
155.91
155.49
154.24
154.87
154.38
154.14
153.7
153.22
152.49
151.59
150.65
149.94
149.59
149.81
149.72
151.51
152.76
154.16
154.45
155.09
155.66
156.63
157.5
159.02
160.46
162.84
165.06
